#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
time [ms], BMP temp [degC], BMP pres [mbar], BMP alt [m], BNO x [deg], BNO y [deg], BNO z [deg], BNO xa [m/s^2], BNO ya [], BNO za [], BNO xg [rad/s], BNO yg [], BNO zg [], BNO xm [uT], BNO ym [], BNO zm [], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], GPS sat [#], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
84085, 23.08, 994.25, 159.41, 341.56, 1.37, 172.56, 0.23, -1.26, -9.56, 0.23, -1.26, -9.56, 0.23, -1.26, -9.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -0.21, -0.12, -9.92, -0.01, 0.00, 0.00, 8.25, -27.90, -72.90
84135, 23.06, 994.25, 159.38, 341.56, 1.37, 172.56, 0.24, -1.34, -9.72, 0.24, -1.34, -9.72, 0.24, -1.34, -9.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -0.33, -0.03, -9.96, 0.03, 0.01, -0.00, 9.00, -27.15, -72.15
84182, 23.05, 994.25, 159.37, 341.56, 1.37, 172.56, 0.22, -1.31, -9.64, 0.22, -1.31, -9.64, 0.22, -1.31, -9.64, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -0.29, 0.00, -9.98, 0.02, 0.01, 0.00, 9.00, -27.15, -72.15
84234, 23.05, 994.26, 159.34, 341.56, 1.37, 172.62, 0.13, -1.22, -9.51, 0.20, -1.24, -9.53, 0.20, -1.24, -9.53, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -0.26, 0.02, -9.97, 0.00, -0.00, 0.00, 6.90, -27.00, -72.00
84280, 23.05, 994.25, 159.38, 341.56, 1.37, 172.56, 0.21, -1.28, -9.61, 0.21, -1.28, -9.61, 0.21, -1.28, -9.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.59, -0.34, -0.14, -9.88, 0.00, 0.01, -0.00, 6.90, -27.00, -72.00
84325, 23.06, 994.25, 159.42, 341.56, 1.37, 172.62, 0.20, -1.30, -9.69, 0.20, -1.30, -9.69, 0.20, -1.30, -9.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -0.31, -0.08, -9.87, 0.02, 0.01, 0.00, 7.35, -26.55, -72.00
84369, 23.06, 994.24, 159.45, 341.56, 1.37, 172.62, 0.20, -1.30, -9.61, 0.20, -1.30, -9.61, 0.20, -1.30, -9.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.55, -0.23, -0.04, -9.99, 0.01, 0.00, 0.00, 7.35, -26.55, -72.00
84415, 23.06, 994.25, 159.41, 341.56, 1.37, 172.62, 0.19, -1.26, -9.60, 0.16, -1.28, -9.59, 0.16, -1.28, -9.59, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -0.28, -0.05, -9.90, 0.00, 0.00, -0.00, 6.90, -27.00, -72.30
84466, 23.07, 994.25, 159.42, 341.56, 1.37, 172.62, 0.21, -1.27, -9.61, 0.21, -1.27, -9.61, 0.21, -1.27, -9.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -0.30, -0.10, -9.91, 0.01, 0.00, -0.00, 6.90, -27.00, -72.30
84510, 23.07, 994.25, 159.40, 341.56, 1.37, 172.62, 0.18, -1.30, -9.69, 0.18, -1.30, -9.69, 0.18, -1.30, -9.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.45, -0.25, -0.07, -9.93, 0.01, 0.00, 0.00, 6.90, -27.00, -72.30
