time [ms], BMP temp [degC], BMP pres [], BMP alt [], BNO x [deg], BNO y [deg], BNO z [deg], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
144661, 24.60, 996.17, 143.18, 326.44, -31.06, -169.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.84, -0.09, -8.90, -0.00, 0.01, 0.01, -27.60, 32.10, -62.40
144706, 24.60, 996.17, 143.15, 326.44, -31.06, -169.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.70, 4.81, -0.07, -8.66, -0.00, 0.00, 0.00, -25.80, 32.10, -62.70
144747, 24.61, 996.18, 143.11, 326.44, -31.06, -169.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.86, -0.06, -8.74, -0.00, 0.00, 0.01, -25.80, 32.10, -62.70
144786, 24.61, 996.18, 143.13, 326.44, -31.06, -169.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.87, -0.04, -8.72, 0.00, 0.01, 0.01, -25.80, 32.10, -62.70
144826, 24.61, 996.17, 143.16, 326.44, -31.06, -169.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.82, -0.01, -8.71, -0.00, 0.03, 0.00, -28.95, 32.85, -63.15
144871, 24.61, 996.17, 143.19, 326.50, -31.19, -169.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 5.08, -0.08, -8.78, -0.01, 0.01, 0.00, -28.95, 32.85, -63.15
144909, 24.61, 996.17, 143.17, 326.50, -31.19, -169.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.98, -0.07, -8.77, -0.00, 0.02, 0.01, -26.70, 31.95, -62.55
144949, 24.61, 996.17, 143.17, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.37, 4.89, -0.05, -8.70, -0.00, -0.00, 0.01, -26.70, 31.95, -62.55
144990, 24.62, 996.17, 143.15, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.32, 4.87, -0.04, -8.68, -0.00, 0.00, 0.01, -26.70, 31.95, -62.55
145029, 24.62, 996.17, 143.18, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.56, 4.82, -0.04, -8.71, -0.00, -0.00, 0.00, -26.70, 31.95, -62.55
145072, 24.62, 996.17, 143.16, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.86, -0.07, -8.78, -0.00, -0.00, 0.00, -26.70, 31.95, -62.55
145118, 24.62, 996.17, 143.22, 326.50, -31.25, -169.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 26.51, 4.90, -0.04, -8.72, -0.00, 0.00, 0.00, -26.70, 31.95, -62.55
