time [ms], BMP temp [degC], BMP pres [], BMP alt [], BNO x [deg], BNO y [deg], BNO z [deg], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
15546, 23.42, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -5.94, 5.11, 5.73, 0.02, 0.00, 0.00, -2.10, -2.85, 16.95
15588, 23.42, 998.71, 121.78, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.95, 5.18, 5.76, -0.00, 0.01, 0.00, -2.10, -3.30, 17.25
15627, 23.43, 998.71, 121.80, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.93, -5.94, 5.15, 5.77, 0.02, -0.00, -0.00, -2.10, -3.30, 17.25
15667, 23.43, 998.71, 121.75, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.69, -6.00, 5.15, 5.72, 0.01, 0.00, 0.00, -2.10, -3.30, 17.25
15706, 23.44, 998.72, 121.71, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.45, -5.99, 5.18, 5.79, 0.01, 0.01, 0.01, -2.10, -3.30, 17.25
15753, 23.44, 998.72, 121.68, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.40, -5.95, 5.14, 5.71, 0.00, 0.00, 0.00, -2.10, -3.30, 17.25
15792, 23.44, 998.72, 121.71, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.74, -5.91, 5.14, 5.77, 0.00, 0.00, 0.00, -3.15, -2.55, 16.95
15832, 23.45, 998.71, 121.72, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.79, -5.97, 5.19, 5.77, 0.01, 0.01, 0.01, -3.15, -2.55, 16.95
15871, 23.45, 998.71, 121.77, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.94, 5.14, 5.77, 0.01, 0.00, 0.00, -3.00, -2.70, 15.60
15907, 23.46, 998.71, 121.73, 343.75, 14.94, -177.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 24.88, -5.94, 5.14, 5.77, 0.01, 0.00, 0.00, -3.00, -2.70, 15.60
