time [ms], BMP temp [degC], BMP pres [mbar], BMP alt [m], BNO x [deg], BNO y [deg], BNO z [deg], BNO xa [m/s^2], BNO ya [], BNO za [], BNO xg [rad/s], BNO yg [], BNO zg [], BNO xm [uT], BNO ym [], BNO zm [], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], GPS sat [#], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
37064, 18.21, 989.90, 196.25, 75.00, -2.12, -178.94, 1.23, -0.80, -10.16, 1.23, -0.80, -10.16, 1.23, -0.80, -10.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, -0.72, -0.53, -10.39, -0.13, -0.07, 0.04, -14.55, 0.90, -82.50
37113, 18.18, 989.90, 196.24, 75.12, -2.00, -179.31, 0.75, -0.91, -9.92, 0.75, -0.91, -9.92, 0.75, -0.91, -9.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.48, -0.64, -0.56, -10.05, -0.21, 0.22, -0.13, -14.55, 0.90, -82.50
37159, 18.18, 989.91, 196.15, 74.87, -2.56, -179.87, -0.28, -0.72, -9.62, -0.23, -0.64, -10.05, -0.23, -0.64, -10.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.53, -0.58, -0.90, -10.76, -0.33, 0.23, -0.06, -13.35, 2.55, -83.10
37211, 18.17, 989.90, 196.20, 74.62, -3.37, 179.12, 0.43, -0.87, -10.89, 0.43, -0.87, -10.89, 0.43, -0.87, -10.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -1.14, -0.26, -9.71, 0.06, 0.63, 0.06, -13.35, 2.55, -83.10
37256, 18.17, 989.90, 196.22, 74.75, -4.87, 179.12, 1.52, -1.30, -8.29, 1.52, -1.30, -8.29, 1.52, -1.30, -8.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, -1.98, -0.46, -7.47, -0.00, 0.05, 0.11, -16.35, 3.45, -81.90
37302, 18.18, 989.90, 196.22, 75.00, -5.12, 179.19, 1.62, -0.84, -7.14, 1.62, -0.84, -7.14, 1.62, -0.84, -7.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -1.40, -0.48, -7.58, -0.12, -0.16, 0.07, -16.35, 3.45, -81.90
37349, 18.18, 989.90, 196.25, 75.12, -4.62, 178.94, 1.00, -0.93, -8.37, 1.00, -0.93, -8.37, 1.00, -0.93, -8.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.43, -1.33, -0.43, -8.78, -0.22, 0.02, 0.07, -16.35, 3.15, -81.45
37393, 18.18, 989.90, 196.23, 75.12, -4.50, 178.19, 1.66, -0.99, -8.85, 1.66, -0.99, -8.85, 1.66, -0.99, -8.85, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.09, -1.64, -0.21, -9.39, -0.41, -0.30, -0.00, -16.35, 3.15, -81.45
37443, 18.19, 989.90, 196.24, 75.00, -3.62, 177.19, 1.70, -1.68, -10.94, 1.70, -1.68, -10.94, 1.70, -1.68, -10.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.24, -1.94, 0.29, -10.67, 0.01, -0.39, -0.03, -14.25, 5.40, -82.95
37490, 18.19, 989.89, 196.29, 74.81, -2.81, 177.12, 1.47, -1.56, -10.56, 1.47, -1.56, -10.56, 1.44, -1.50, -10.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 216.33, -1.42, -0.09, -11.38, -0.13, -0.02, -0.07, -14.25, 5.40, -82.95
