time [ms], BMP temp [degC], BMP pres [mbar], BMP alt [m], BNO x [deg], BNO y [deg], BNO z [deg], BNO xa [m/s^2], BNO ya [], BNO za [], BNO xg [rad/s], BNO yg [], BNO zg [], BNO xm [uT], BNO ym [], BNO zm [], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m], GPS sat [#], ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
10262, 14.97, 989.95, 195.78, 2.87, 6.75, 178.81, 1.22, -1.21, -7.55, 1.22, -1.21, -7.55, 1.22, -1.21, -7.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -1.36, -0.18, -8.08, 0.15, -0.75, -0.16, 0.00, 22.35, -77.10
10315, 14.94, 989.97, 195.65, 2.56, 8.50, 179.12, -0.65, -0.82, -7.35, -0.65, -0.82, -7.35, -0.65, -0.82, -7.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.74, 0.03, -0.94, -8.24, -0.33, 0.69, 0.08, 0.00, 22.35, -77.10
10358, 14.92, 989.97, 195.65, 2.69, 7.12, 178.37, 0.89, -0.74, -10.41, 0.89, -0.74, -10.41, 0.89, -0.74, -10.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -1.69, -0.79, -10.03, -0.07, -0.41, 0.27, 1.50, 21.00, -77.55
10409, 14.90, 989.97, 195.63, 3.31, 7.37, 177.94, 0.56, -1.40, -7.58, 0.56, -1.40, -7.58, 0.56, -1.40, -7.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -0.59, -0.01, -7.94, -0.38, -0.14, 0.11, 1.50, 21.00, -77.55
10452, 14.89, 989.98, 195.57, 3.69, 8.00, 176.81, -0.64, -0.68, -9.13, -0.64, -0.68, -9.13, -0.64, -0.68, -9.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.72, -0.12, -9.42, -0.32, 0.25, 0.54, 1.95, 22.80, -77.25
10499, 14.89, 989.99, 195.52, 4.69, 7.31, 176.00, 1.89, -2.56, -9.21, 1.99, -2.98, -8.71, 1.99, -2.98, -8.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -1.14, 2.02, -8.49, -0.26, 0.29, -0.08, 1.95, 22.80, -77.25
10542, 14.89, 989.99, 195.49, 4.44, 6.31, 175.12, 0.61, -3.13, -8.95, 0.61, -3.13, -8.95, 0.61, -3.13, -8.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, -1.44, 1.42, -10.82, -0.66, 1.36, -0.50, 0.15, 24.30, -77.25
10588, 14.88, 989.99, 195.44, 3.12, 3.69, 173.81, 0.60, -2.77, -10.70, 1.36, -1.84, -9.29, 1.36, -1.84, -9.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, -0.47, 0.26, -9.78, -0.85, 1.48, -0.95, 0.15, 24.30, -77.25
10640, 14.88, 990.00, 195.37, 0.44, 0.13, 171.50, -2.52, -1.27, -9.95, -2.52, -1.27, -9.95, -2.52, -1.27, -9.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.26, 3.03, 0.16, -11.81, -0.81, 0.23, -0.55, -2.85, 27.45, -74.55
10688, 14.88, 990.01, 195.34, 358.56, -1.00, 169.19, -4.22, -3.84, -13.96, -4.22, -3.84, -13.96, -4.22, -3.84, -13.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.60, 1.28, 2.52, -11.86, 0.17, -0.63, -0.08, -2.85, 27.45, -74.55
10733, 14.87, 990.02, 195.21, 358.44, -0.56, 169.44, -1.37, -2.00, -10.17, -1.37, -2.00, -10.17, -1.37, -2.00, -10.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.31, 0.55, 0.20, -10.97, 0.53, -0.26, -0.17, -2.70, 28.50, -74.85
10780, 14.87, 990.02, 195.26, 358.19, 0.25, 170.56, -3.15, -0.78, -14.35, -2.86, -0.73, -14.26, -2.86, -0.73, -14.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.45, 2.60, -0.70, -14.83, 0.42, 0.25, 0.20, -2.70, 28.50, -74.85
10831, 14.86, 990.02, 195.24, 358.69, 0.00, 171.62, -1.41, -0.52, -10.62, -1.41, -0.52, -10.62, -1.41, -0.52, -10.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.55, 1.45, -1.41, -11.20, -0.71, -0.71, 0.24, -1.80, 28.65, -76.35
10879, 14.86, 990.02, 195.26, 359.56, 1.62, 170.12, 0.28, 0.53, -9.56, 0.28, 0.53, -9.56, 0.28, 0.53, -9.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0, 212.64, 0.25, -0.71, -10.89, -1.04, -1.27, 0.10, -1.80, 28.65, -76.35
