time [ms], BMP temp [degC], BMP pres [mbar], BMP alt [m], BNO x [deg], BNO y [deg], BNO z [deg], BNO xa [m/s^2], BNO ya [], BNO za [], BNO xg [rad/s], BNO yg [], BNO zg [], BNO xm [uT], BNO ym [], BNO zm [], GPS lat [deg.min], GPS lon [deg.min], GPS speed [m/s], GPS angle [deg], GPS alt [m],GPS Sat, ICM temp [degC], ICM accel x [m/s^2], ICM accel y [m/s^2], ICM accel z [m/s^2], ICM gyro x [rad/s], ICM gyro y [rad/s], ICM gyro z [rad/s], ICM mag x [], ICM mag y [], ICM mag z []
88,26.17,998.62,122.51,3.31,-5.37,-94.44,-1.08,11.73,-0.61,-1.08,11.73,-0.61,-1.08,11.73,-0.61,0,0,0,0,0,0,27.57,0.65,-10.01,-0.45,0,-0.01,0,43.65,19.65,-62.85
136,26.17,998.63,122.47,3.31,-5.37,-94.44,-1.07,11.74,-0.86,-1.07,11.74,-0.86,-1.07,11.74,-0.86,0,0,0,0,0,0,27.71,0.73,-9.97,-0.55,-0.01,0.01,0.01,43.65,28.2,-58.35
177,26.17,998.63,122.46,3.31,-5.37,-94.44,-1.01,11.75,-0.7,-1.01,11.75,-0.7,-1.01,11.75,-0.7,0,0,0,0,0,0,27.61,0.7,-9.93,-0.64,-0.02,-0.01,0,43.65,28.2,-58.35
226,26.17,998.63,122.48,3.31,-5.37,-94.44,-1.06,11.75,-0.94,-1.06,11.75,-0.94,-1.06,11.75,-0.94,0,0,0,0,0,0,27.71,0.77,-9.96,-0.73,-0.01,-0.01,0,44.85,27.3,-61.35
268,26.17,998.62,122.5,3.31,-5.37,-94.5,-1.13,11.76,-1.01,-1.13,11.76,-1.01,-1.13,11.76,-1.01,0,0,0,0,0,0,27.61,0.76,-10.03,-0.85,-0.01,0,-0.01,44.85,27.3,-61.35
313,26.18,998.62,122.53,3.37,-5.37,-94.5,-1.11,11.75,-1.13,-1.11,11.75,-1.13,-1.11,11.75,-1.13,0,0,0,0,0,0,27.52,0.79,-9.98,-0.94,0,0.02,0,44.85,27.3,-61.35
356,26.18,998.62,122.51,3.44,-5.37,-94.5,-1.14,11.73,-1.07,-1.14,11.73,-1.07,-1.14,11.73,-1.07,0,0,0,0,0,0,27.37,0.86,-10.01,-0.86,0.01,0.02,0,44.7,25.65,-57.9
397,26.18,998.62,122.5,3.5,-5.37,-94.5,-1.27,11.73,-0.94,-1.27,11.73,-0.94,-1.27,11.73,-0.94,0,0,0,0,0,0,27.61,1.01,-9.84,-0.68,0.02,-0.03,0,44.7,25.65,-57.9
445,26.19,998.62,122.51,3.44,-5.44,-94.44,-1.28,11.75,-0.82,-1.28,11.75,-0.82,-1.25,11.75,-0.9,0,0,0,0,0,0,27.71,0.88,-10.01,-0.66,0.01,0,0.02,41.85,24.15,-59.7
487,26.19,998.63,122.43,3.37,-5.44,-94.44,-1.32,11.73,-0.72,-1.32,11.73,-0.72,-1.32,11.73,-0.72,0,0,0,0,0,0,27.57,0.99,-9.96,-0.53,0,0.01,0.03,41.85,24.15,-59.7
531,26.19,998.63,122.42,3.31,-5.37,-94.37,-1.07,11.76,-0.71,-1.07,11.76,-0.71,-1.07,11.76,-0.71,0,0,0,0,0,0,27.71,0.69,-9.97,-0.51,-0.01,-0.02,0.03,41.55,21.3,-55.95
575,26.19,998.63,122.42,3.19,-5.31,-94.44,-1.03,11.73,-0.89,-1.03,11.73,-0.89,-0.99,11.75,-0.95,0,0,0,0,0,0,27.57,0.66,-9.97,-0.77,-0.02,-0.01,0.02,41.55,21.3,-55.95
617,26.19,998.63,122.46,3.12,-5.25,-94.44,-0.77,11.74,-1.05,-0.77,11.74,-1.05,-0.77,11.74,-1.05,0,0,0,0,0,0,27.71,0.58,-9.98,-0.67,-0.01,0.07,0.01,43.65,16.35,-56.25
667,26.19,998.62,122.49,3.19,-5.19,-94.44,-0.9,11.74,-1.18,-0.9,11.74,-1.18,-0.9,11.74,-1.18,0,0,0,0,0,0,27.71,0.59,-9.97,-1.02,-0.01,0.03,0,43.65,16.35,-56.25
709,26.19,998.63,122.45,3.25,-5.19,-94.5,-1.01,11.76,-0.99,-1.01,11.76,-0.99,-1.01,11.76,-0.99,0,0,0,0,0,0,27.76,0.78,-10.01,-0.75,0,0.02,0,43.65,16.35,-56.25
752,26.19,998.62,122.5,3.25,-5.19,-94.5,-1.12,11.73,-1.13,-1.12,11.73,-1.13,-1.12,11.73,-1.13,0,0,0,0,0,0,27.52,0.75,-9.95,-0.92,0,0,0,45.9,13.95,-59.25
797,26.19,998.62,122.56,3.25,-5.19,-94.5,-1.04,11.76,-0.89,-1.07,11.75,-0.78,-1.07,11.75,-0.78,0,0,0,0,0,0,27.71,0.89,-10.01,-0.79,0.01,-0.01,0,45.9,13.95,-59.25
847,26.19,998.62,122.56,3.25,-5.19,-94.5,-1.15,11.72,-0.86,-1.17,11.72,-0.8,-1.17,11.72,-0.8,0,0,0,0,0,0,27.57,0.87,-10,-0.62,0,0,0.01,46.8,17.4,-60.45
889,26.19,998.6,122.65,3.25,-5.19,-94.44,-1.1,11.74,-0.85,-1.1,11.74,-0.85,-1.1,11.74,-0.85,0,0,0,0,0,0,27.52,0.76,-9.98,-0.69,-0.01,0,0.01,46.8,17.4,-60.45
